location,count
"Stockholm, Stockholm County, Sweden",93
European Union,47
"Gothenburg, Västra Götaland County, Sweden",40
EMEA,30
"Malmo, Skåne County, Sweden",27
Sweden,16
"Luleå, Norrbotten County, Sweden",15
"Halmstad, Halland County, Sweden",13
"Uppsala, Uppsala County, Sweden",11
"Gävle, Gävleborg County, Sweden",10
"Ludvika, Dalarna County, Sweden",9
"Solna, Stockholm County, Sweden",9
"Örnsköldsviks kommun, Västernorrland County, Sweden",9
"Linköping, Östergötland County, Sweden",9
Greater Västerås Metropolitan Area,9
"Västerås, Västmanland County, Sweden",8
"Lund, Skåne County, Sweden",7
"Växjö, Kronoberg County, Sweden",7
"Umeå, Västerbotten County, Sweden",7
"Stockholm County, Sweden",6
"Norrbotten County, Sweden",6
"Karlskrona, Blekinge County, Sweden",5
"Sundsvall Municipality, Västernorrland County, Sweden",5
"Södertälje, Stockholm County, Sweden",4
"Jönköping, Jönköping County, Sweden",4
European Economic Area,4
"Helsingborg, Skåne County, Sweden",4
"Bodens kommun, Norrbotten County, Sweden",3
"Norrköping, Östergötland County, Sweden",3
"Örebro, Örebro County, Sweden",3
"Skellefteå, Västerbotten County, Sweden",3
"Upplands Väsby och Sollentuna, Stockholm County, Sweden",2
"Östersund, Jämtland County, Sweden",2
"Kalmar, Kalmar County, Sweden",2
"Karlsborg, Västra Götaland County, Sweden",2
"Borås, Västra Götaland County, Sweden",2
"Hässleholm, Skåne County, Sweden",2
"Finspång, Östergötland County, Sweden",2
"Karlskoga, Örebro County, Sweden",2
Nordics,2
"Marks kommun, Västra Götaland County, Sweden",2
"Kiruna, Norrbotten County, Sweden",2
"Eskilstuna, Södermanland County, Sweden",2
"Vara, Västra Götaland County, Sweden",2
"Varberg, Halland County, Sweden",2
"Oskarshamn, Kalmar County, Sweden",2
"Ängelholm, Skåne County, Sweden",2
Greater Gothenburg Metropolitan Area,2
"Härnösand, Västernorrland County, Sweden",2
"Strängnäs, Södermanland County, Sweden",2
"Höganäs, Skåne County, Sweden",2
"Lindesberg, Örebro County, Sweden",2
"Stenungsund, Västra Götaland County, Sweden",1
"Skövde, Västra Götaland County, Sweden",1
"Strömsund, Jämtland County, Sweden",1
"Lidingö, Stockholm County, Sweden",1
"Habo, Jönköping County, Sweden",1
"Arvika, Värmland County, Sweden",1
"Ronneby, Blekinge County, Sweden",1
"Västra Götaland County, Sweden",1
"Gävle kommun, Gävleborg County, Sweden",1
"Bromma, Stockholm County, Sweden",1
"Enköping, Uppsala County, Sweden",1
"Mora, Dalarna County, Sweden",1
"Skärholmen, Stockholm County, Sweden",1
"Upplands Väsby, Stockholm County, Sweden",1
"Trelleborg, Skåne County, Sweden",1
"Sigtuna, Stockholm County, Sweden",1
"Molkom, Värmland County, Sweden",1
"Dalarna County, Sweden",1
"Eksjö, Jönköping County, Sweden",1
"Katrineholm, Södermanland County, Sweden",1
"Järfälla kommun, Stockholm County, Sweden",1
"Östhammar, Uppsala County, Sweden",1
"Södertälje kommun, Stockholm County, Sweden",1
"Nyköping, Södermanland County, Sweden",1
"Motala, Östergötland County, Sweden",1
"Kronoberg County, Sweden",1
"Huddinge, Stockholm County, Sweden",1
"Haparanda, Norrbotten County, Sweden",1
"Södermanland County, Sweden",1
"Landskrona, Skåne County, Sweden",1
"Gällivare, Norrbotten County, Sweden",1
"Vetlanda, Jönköping County, Sweden",1
"Falun, Dalarna County, Sweden",1
"Götene, Västra Götaland County, Sweden",1
Greater Stockholm Metropolitan Area,1
"Eskilstuna kommun, Södermanland County, Sweden",1
"Kungälv, Västra Götaland County, Sweden",1
"Vreta kloster, Östergötland County, Sweden",1
"Staffanstorp, Skåne County, Sweden",1
"Karlstad, Värmland County, Sweden",1
"Mariestad, Västra Götaland County, Sweden",1
